Date,Time,gender,age,status,income,visitNo,method,timeSpend,location,membershipCard,itemPurchase,visitSpend,quanlityRate,priceRate,sales-promoteDecision,ambianceRate,wifiRate,serviceRate,chooseRate,promoMethod,loyal
2019/10/01,14:41:01,Female,Below 20,Student,"Less than RM25,000",Never,never,Below 30 minutes,1km - 3km,No,Coffee,Zero,3,3,3,3,3,3,3,Social Media,Yes
2019/10/01,14:41:31,Female,From 30 to 39,Student,"RM50,000 - RM100,000",Rarely,Take away,Below 30 minutes,1km - 3km,Yes,Coffee;Pastries,Around RM20 - RM40,5,3,4,3,4,4,4,Social Media,Yes
2019/10/01,14:41:56,Female,Below 20,Student,"Less than RM25,000",Never,Dine in,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,3,2,5,4,3,3,5,Through friends and word of mouth,Yes
2019/10/01,14:42:02,Female,From 20 to 29,Self-employed,"Less than RM25,000",Rarely,Take away,Between 30 minutes to 1 hour,more than 3km,No,Coffee,Zero,3,1,5,4,3,3,2,"Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",Yes
2019/10/01,14:45:52,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,Take away,Below 30 minutes,within 1km,No,Cold drinks,Less than RM20,3,4,5,4,3,4,2,Social Media;Through friends and word of mouth,Yes
2019/10/01,15:08:53,Male,Below 20,Student,"Less than RM25,000",Rarely,Drive-thru,Below 30 minutes,within 1km,Yes,Cold drinks,Less than RM20,3,3,3,3,3,3,3,Social Media,Yes
2019/10/01,15:12:11,Male,40 and above,Employed,"RM100,000 - RM150,000",Rarely,Dine in,Below 30 minutes,more than 3km,Yes,Coffee,Around RM20 - RM40,4,4,4,4,2,3,4,Social Media;In Store displays,Yes
2019/10/01,15:16:32,Female,Below 20,Student,"Less than RM25,000",Rarely,Dine in,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,3,3,2,2,2,4,3,Social Media;Through friends and word of mouth,No
2019/10/01,15:20:55,Female,40 and above,Housewife,"Less than RM25,000",Monthly,Take away,Below 30 minutes,more than 3km,Yes,Cold drinks;Juices;Pastries,More than RM40,5,4,3,5,3,5,5,"Starbucks Website/Apps;Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",Yes
2019/10/01,15:21:16,Female,Below 20,Student,"Less than RM25,000",Rarely,Drive-thru,Below 30 minutes,more than 3km,No,Coffee,Around RM20 - RM40,3,3,2,3,3,3,3,Social Media,Yes
2019/10/01,15:57:29,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,Take away,Between 30 minutes to 1 hour,within 1km,Yes,Coffee,Around RM20 - RM40,4,3,5,4,4,5,5,Social Media;Through friends and word of mouth,Yes
2019/10/01,16:02:35,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Monthly,Take away,Between 30 minutes to 1 hour,1km - 3km,Yes,Coffee,Less than RM20,4,3,4,3,2,3,4,Starbucks Website/Apps,Yes
